
> backend@1.0.0 dev
> ts-node src/server.ts

[dotenv@17.2.2] injecting env (0) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }
Server running on port 3001
Health check: http://localhost:3001/health
127.0.0.1 - - [25/Sep/2025:12:37:03 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:37:19 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:37:29 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:38:21 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:39:54 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:39:54 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:40:01 +0000] "GET /api/slots?weekStart=2025-09-28 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:40:01 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:40:01 +0000] "GET /api/slots?weekStart=2025-09-28 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:43:03 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:43:03 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:43:10 +0000] "POST /api/slots HTTP/1.1" 201 165 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:43:10 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 200 640 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:43:25 +0000] "GET /api/slots?weekStart=2025-09-28 HTTP/1.1" 200 640 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:43:25 +0000] "GET /api/slots?weekStart=2025-09-21 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
127.0.0.1 - - [25/Sep/2025:12:43:25 +0000] "GET /api/slots?weekStart=2025-09-28 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/136.0.7103.25 Safari/537.36"
